Neoregelia zonata 	Zonata 	2-3 	2 	2 	2 	3
Nephrolepis exaltata ‘Bostoniensis’ 	Boston Fern 	2-3 	2 	1-2 	2 	6
Nephrolepis exaltata ‘Fluffy Ruffles’ 	Fluffy Ruffles 	2-3 	2 	1 	2 	6
Nidularium innocentii nana 	Miniature Bird’s Nest 	2-3 	2 	2 	1 	3
Opuntia vilis 	Little Tree Cactus 	1-2 	2 	3 	3 	5
Opuntia vulgaris 	Irish Mittens 	1-2 	2 	3 	3 	5
Oxalis flava 	Finger Oxalis 	1-2 	2 	2 	2 	1
Oxalis rubra 	Red Oxalis 	1-2 	2 	2 	2 	1
Pachyphytum oviferum 	Pearly Moonstones 	1-2 	2 	2-3 	2-3 	5
Pachystachys lutea 	Yellow Shrimp Plant 	2-3 	2 	2 	2 	1
Paphiopedilum hybrids 	Ladyslipper Orchids 	2-3 	2 	2 	1-2 	4
Pedilanthus tithymaloides ‘Variegatus’ 	Devil’s Backbone 	2-3 	2 	2 	2 	5
Pelargonium hortorum 	House Geranium 	1-2 	1-2 	2-3 	2 	1
Pelargoniium peltatum 	Ivy Geranium 	1-2 	1-2 	2 	2 	1
Pellaea rotundifolia 	Button Fern 	2-3 	2 	2 	1-2 	6
Pellionia pulchra 	Satin Pellionia 	2-3 	2 	2 	1-2 	2
Pentas lanceolata 	Egyptian Star Cluster 	1 	2 	2 	2 	1
Peperomia caperata 	Emerald Ripple 	2-3 	2 	2 	2 	2
Peperomia crassifolia 	Leather Peperomia 	2-3 	2 	2 	2 	2
Peperomia obtusifolia 	Baby Rubber Tree 	2-3 	2 	2 	2 	2
Philodendron bipennifolium 	Fiddle-Leaf Philodendron 	3-4 	2 	2 	2 	2
Philodendron ‘Emerald Queen’ 	Emerald Queen 	2-4 	2 	2 	2 	2
Philodendron ‘Florida’ 	Florida 	2-4 	2 	2 	2 	2
Philodendron scandens oxycardium 	Heart-Leaf Philodendron 	2-4 	2 	2 	2 	2
Philodendron selloum 	Selloum 	2-4 	2 	2 	2 	2
Phoenix roebelenii 	Pigmy Date Palm 	2-3 	2 	2 	2 	2
Pilea cadierei 	Aluminum Plant 	2-3 	2 	1-2 	1 	2
Pilea microphylla 	Artillery Plant 	2-3 	2 	1 	1 	2
Platycerium bifurcatum 	Staghorn Fern 	2-3 	2 	2 	2 	6
Plectranthus australis 	Swedish Ivy 	2-3 	2 	2 	2 	2
Plectranthus australis 	Candle Plant 	2-3 	2 	2 	2 	2
Podocarpus macrophyllus 	Podocarpus 	2-3 	2 	2 	2 	2
Polyscias balfouriana ‘Marginata’	Variegated Balfour Aralia 	2-3 	2 	2 	2 	2
Polyscias fruticosa 	Ming Aralia 	2-3 	2 	2 	2 	2
Rhapis excelsa 	Lady Palm 	2-3 	2 	2 	2 	2
Rhododendron hybrids 	Azaleas 	2 	1-2 	1 	1 	2
Ruellia graeciznas 	Red-Spray Ruellia 	1-2 	2 	2 	2 	1
Saintpaulia hybrids 	African Violets 	2-3 	2 	2 	1 	7
Sansevieria parva 	Parva Sansevieria 	2-3 	2 	3 	2-3 	5
Sansevieria trifasciata ‘Hahnii’ 	Birdsnest Sansevieria 	2-4 	2 	3 	2-3 	5
Sansevieria trifasciata ‘Laurentii’ 	Gold-Banded Sansevieria 	2-4 	2 	3 	2-3 	5
Saxifraga stolonifera 	Strawberry Geranium 	2-3 	1-2 	2 	2 	2
Schlumbergera bridgesii 	Christmas Cactus 	2-3 	2 	2 	2 	2
Schlumbergera truncata 	Christmas Cactus 	2-3 	2 	2 	2 	2
Scindapsus pictus 	Silver Pothos 	3 	2 	2 	2 	2
Sedum spectabile 	Showy Sedum 	1-2 	1-2 	2-3 	2-3 	5
Sempervivum arachniodeum 	Cow Web Houseleek 	1-2 	1-2 	2-3 	2-3 	5
Setcreasea pallida ‘Purple Heart’ 	Purple Heart 	1-2 	2 	2 	2 	2
Sinningia speciosa 	Gloxinia 	2-3 	2 	1-2 	2 	7
Soleirolia soleirolii 	Baby Tears 	2-3 	2 	1-2 	1 	2
Spathiphyllum ‘Clevelandii’ 	Peace Lily 	2-3 	2 	2 	1 	2
Spathiphyllum ‘Mauna Loa’ 	Mauna Loa 	2-3 	2 	2 	1 	2
Stapelia nobilis 	Carrion Flower 	1-2 	2 	2-3 	2-3 	5
Streptocarpus x hybridus 	Cape Primrose 	2-3 	2 	2 	2 	7
Strobilanthes dyeranum 	Persian Shield 	2-3 	2 	2 	2 	2
Syngonium podophyllum 	Nephthytis 	2-4 	2 	2 	2 	2
Trillandsia bulbosa 	Dancing Bulb 	2 	2 	2 	2 	3
Tillandsia lindenii 	Blue-Flowered Torch 	2 	2 	2 	2 	3
Tolmiea menziesii 	Piggyback Plant 	2 	1-2 	2 	2 	2
Tradescantia blossfeldiana 	Flowering Inch Plant 	2-3 	2 	2 	2 	2
Tradescantia sillamontana 	White Velvet 	2-3 	2 	2 	2 	2
Vriesea splendens 	Flaming Sword 	2 	2 	2 	2 	3
Yucca elephantipes 	Spineless Yucca 	2 	2 	3 	2 	2
Zebrina pendula 	Wandering Jew 	2-3 	2 	2 	2 	2
